Año,Mes,Estación_Nominal,Estación_Ordinal,Periodo,Fecha,Provincia,Tipo alojamiento,Subtipo alojamiento,Viajeros,Viajeros españoles,Viajeros extranjeros,Pernoctaciones,Pernoctaciones españoles,Pernoctaciones extranjeros,Grado ocupación,Estancia media,provincia_abreviado,Estancia media españoles,Estancia media extranjeros
2000,Enero,Invierno,4,Mensual,2000-01,Ávila,Camping,Camping,400,400,0,1504,1504,0,1.44,3.76,AV,0.00,
2000,Enero,Invierno,4,Mensual,2000-01,Ávila,Todos alojamientos,Todos,17208,15364,1845,27424,25350,2074,11.15,1.59,AV,1.65,13.74
2000,Enero,Invierno,4,Mensual,2000-01,Ávila,Turismo rural,Turismo rural,1465,1397,68,2951,2826,125,16.13,2.01,AV,2.02,0.04
2000,Enero,Invierno,4,Mensual,2000-01,Burgos,Camping,Camping,649,347,302,1227,852,374,1.04,1.89,BU,2.46,2.82
2000,Enero,Invierno,4,Mensual,2000-01,Burgos,Todos alojamientos,Todos,37930,30482,7448,56423,46490,9933,15.28,1.49,BU,1.53,6.24
2000,Enero,Invierno,4,Mensual,2000-01,Burgos,Turismo rural,Turismo rural,837,724,113,1403,1252,151,6.07,1.68,BU,0.00,0.01
2000,Enero,Invierno,4,Mensual,2000-01,León,Camping,Camping,607,579,28,1988,1856,132,7.1,3.28,LE,0.00,0.07
2000,Enero,Invierno,4,Mensual,2000-01,León,Todos alojamientos,Todos,33291,31424,1867,54556,50006,4550,16.4,1.64,LE,1.59,26.78
2000,Enero,Invierno,4,Mensual,2000-01,León,Turismo rural,Turismo rural,1230,1218,12,2058,2043,15,6.95,1.67,LE,1.68,0.17
2000,Enero,Invierno,4,Mensual,2000-01,Palencia,Camping,Camping,10,7,3,10,7,3,0.03,1,PA,1.00,2.33
2000,Enero,Invierno,4,Mensual,2000-01,Palencia,Todos alojamientos,Todos,11360,10558,802,24036,22745,1292,15.65,2.12,PA,2.15,0.03
2018,Abril,,Otro,Mensual,2018-04,Palencia,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Salamanca,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Palencia,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Soria,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Valladolid,Hoteles,,,,,,,,,,,,
2000,Enero,Invierno,4,Mensual,2000-01,Palencia,Turismo rural,Turismo rural,1092,1083,9,2381,2369,12,12.49,2.18,PA,2.19,0.26
2000,Enero,Invierno,4,Mensual,2000-01,Salamanca,Camping,Camping,150,121,29,697,621,76,0.88,4.65,SA,5.13,21.41
2000,Enero,Invierno,4,Mensual,2000-01,Salamanca,Todos alojamientos,Todos,37638,30051,7587,64560,50282,14278,17.86,1.72,SA,1.67,6.63
2000,Enero,Invierno,4,Mensual,2000-01,Salamanca,Turismo rural,Turismo rural,789,773,16,1568,1535,33,7.27,1.99,SA,0.00,0.10
2000,Enero,Invierno,4,Mensual,2000-01,Segovia,Camping,Camping,0,0,0,0,0,0,0,0,SE,,
2000,Enero,Invierno,4,Mensual,2000-01,Segovia,Todos alojamientos,Todos,17226,15828,1397,28814,27296,1518,22.05,1.67,SE,1.72,19.54
2000,Enero,Invierno,4,Mensual,2000-01,Segovia,Turismo rural,Turismo rural,864,857,7,1398,1387,11,11.03,1.62,SE,0.00,0.20
2000,Enero,Invierno,4,Mensual,2000-01,Soria,Camping,Camping,0,0,0,0,0,0,0,0,SO,,
2000,Enero,Invierno,4,Mensual,2000-01,Soria,Todos alojamientos,Todos,11197,10637,561,17920,17229,691,16.65,1.6,SO,1.62,0.03
2000,Enero,Invierno,4,Mensual,2000-01,Soria,Turismo rural,Turismo rural,614,603,11,893,882,11,7.22,1.45,SO,1.46,80.18
2000,Enero,Invierno,4,Mensual,2000-01,Valladolid,Camping,Camping,13,13,0,363,363,0,1.39,27.95,VA,27.92,
2000,Enero,Invierno,4,Mensual,2000-01,Valladolid,Todos alojamientos,Todos,33297,27326,5971,50242,42012,8229,25.81,1.51,VA,1.54,7.04
2000,Enero,Invierno,4,Mensual,2000-01,Valladolid,Turismo rural,Turismo rural,110,110,0,237,237,0,4.15,2.15,VA,2.15,
2000,Enero,Invierno,4,Mensual,2000-01,Zamora,Camping,Camping,0,0,0,0,0,0,0,0,ZA,,
2018,Mayo,,Otro,Mensual,2018-05,Palencia,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Soria,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Zamora,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Burgos,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Salamanca,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Segovia,Hoteles,,,,,,,,,,,,
